ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
2026-05-18 23:03:56,000: [QKDL] *** Eve registered as interceptor session=8b15f0e6 label=eve-1 ***
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
2026-05-22 23:51:43,211: [QKDL] *** Eve registered as interceptor session=66d7a241 label=eve-1 ***
2026-05-22 23:52:08,992: [QKDL] *** Eve registered as interceptor session=6def5c8f label=eve-1 ***
2026-05-22 23:52:42,334: [QKDL] *** Eve registered as interceptor session=e2d184e9 label=eve-1 ***
2026-05-22 23:53:16,311: [QKDL] *** Eve registered as interceptor session=748e0357 label=eve-1 ***
2026-05-22 23:53:57,865: [QKDL] *** Eve registered as interceptor session=7a9a31ff label=eve-1 ***
2026-05-22 23:54:39,639: [QKDL] *** Eve registered as interceptor session=c131daf7 label=eve-1 ***
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
2026-05-23 21:34:16,309: [QKDL] *** Eve registered as interceptor session=5589310b label=eve-1 ***
2026-05-23 21:34:35,640: [QKDL] *** Eve registered as interceptor session=1161fad6 label=eve-1 ***
2026-05-23 21:35:14,703: [QKDL] *** Eve registered as interceptor session=0780281a label=eve-1 ***
2026-05-23 21:37:09,218: [QKDL] *** Eve registered as interceptor session=168c5421 label=eve-1 ***
2026-05-23 21:38:29,450: [QKDL] *** Eve registered as interceptor session=4fd656a5 label=eve-1 ***
2026-05-23 21:40:54,477: [QKDL] *** Eve registered as interceptor session=f9baee40 label=eve-1 ***
2026-05-23 21:41:20,003: [QKDL] *** Eve registered as interceptor session=069ab1d7 label=eve-1 ***
2026-05-23 21:41:41,377: [QKDL] *** Eve registered as interceptor session=ca877248 label=eve-1 ***
2026-05-23 21:42:10,933: [QKDL] *** Eve registered as interceptor session=2cea8da1 label=eve-1 ***
2026-05-23 21:42:40,427: [QKDL] *** Eve registered as interceptor session=64d47892 label=eve-1 ***
2026-05-23 21:43:20,104: [QKDL] *** Eve registered as interceptor session=b485f234 label=eve-1 ***
2026-05-23 21:43:57,594: [QKDL] *** Eve registered as interceptor session=b7ff3239 label=eve-1 ***
2026-05-23 21:45:13,621: [QKDL] *** Eve registered as interceptor session=2b13efb7 label=eve-1 ***
2026-05-23 21:46:33,688: [QKDL] *** Eve registered as interceptor session=67adf9d5 label=eve-1 ***
2026-05-23 21:48:58,959: [QKDL] *** Eve registered as interceptor session=f4f085b9 label=eve-1 ***
2026-05-23 21:51:27,571: [QKDL] *** Eve registered as interceptor session=ec500396 label=eve-1 ***
2026-05-23 21:51:53,111: [QKDL] *** Eve registered as interceptor session=64da5868 label=eve-1 ***
2026-05-23 21:52:14,582: [QKDL] *** Eve registered as interceptor session=02a0a759 label=eve-1 ***
2026-05-23 21:52:44,063: [QKDL] *** Eve registered as interceptor session=ee8224bc label=eve-1 ***
2026-05-23 21:53:13,531: [QKDL] *** Eve registered as interceptor session=2615b354 label=eve-1 ***
2026-05-23 21:53:53,147: [QKDL] *** Eve registered as interceptor session=82e14a7b label=eve-1 ***
2026-05-23 21:54:32,715: [QKDL] *** Eve registered as interceptor session=627dc29d label=eve-1 ***
2026-05-23 21:55:50,858: [QKDL] *** Eve registered as interceptor session=09df3c8c label=eve-1 ***
2026-05-23 21:57:10,953: [QKDL] *** Eve registered as interceptor session=a620184e label=eve-1 ***
2026-05-23 21:59:35,874: [QKDL] *** Eve registered as interceptor session=47af4690 label=eve-1 ***
2026-05-23 22:02:04,891: [QKDL] *** Eve registered as interceptor session=e4db18b9 label=eve-1 ***
2026-05-23 22:02:45,117: [QKDL] *** Eve registered as interceptor session=561448d3 label=eve-1 ***
2026-05-23 22:03:10,803: [QKDL] *** Eve registered as interceptor session=f54bc4b5 label=eve-1 ***
2026-05-23 22:03:53,110: [QKDL] *** Eve registered as interceptor session=6bf426fd label=eve-1 ***
2026-05-23 22:04:32,985: [QKDL] *** Eve registered as interceptor session=500e86fa label=eve-1 ***
2026-05-23 22:05:23,376: [QKDL] *** Eve registered as interceptor session=d024550e label=eve-1 ***
2026-05-23 22:06:15,145: [QKDL] *** Eve registered as interceptor session=062428e5 label=eve-1 ***
2026-05-23 22:08:07,090: [QKDL] *** Eve registered as interceptor session=3ad4b56b label=eve-1 ***
2026-05-23 22:10:00,360: [QKDL] *** Eve registered as interceptor session=3fd0d2c4 label=eve-1 ***
2026-05-23 22:13:32,955: [QKDL] *** Eve registered as interceptor session=409cebfd label=eve-1 ***
2026-05-23 22:18:15,477: [QKDL] *** Eve registered as interceptor session=c02511c9 label=eve-1 ***
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
2026-05-24 18:06:32,543: [QKDL] *** Eve registered as interceptor session=3c51b306 label=eve-1 ***
ERROR:    [Errno 98] error while attempting to bind on address ('0.0.0.0', 8003): address already in use
