session_id,status,alice,bob,n_qubits,n_delivered,n_sifted,qber,key_final,key_status,error_message,elapsed_s,wall_s,progress_pct,phase_label,qkdl_url,interceptor_label,intercepted
8e3b335a-9be2-49e7-aca6-bd8472b5525e,done,alice-1,bob-1,32,32,16,0.0,0001110001111,active,,6.499,,100.0,Key generated,http://localhost:8003,,False
7e1fd9f9-ab7e-4f1c-98e0-91a40ef05b37,done,alice-2,bob-2,64,64,31,0.0,0000111101001010010001111,active,,15.242,,100.0,Key generated,http://localhost:8003,,False
f68db0f6-0827-40d0-9147-65abe6281cd5,done,alice-3,bob-3,128,128,64,0.0,0011101100001010010110111010011011101101101111000101,active,,28.882,,100.0,Key generated,http://localhost:8003,,False
923c0ef8-b830-483e-85a7-d129211972cb,done,alice-4,bob-4,200,200,96,0.0,10111001010010100100000001011000111100101010011110010001110000100111110011110,active,,41.066,,100.0,Key generated,http://localhost:8013,,False
2c41f744-793d-4e6f-89b7-77c932e9ac48,done,alice-5,bob-5,1024,1024,529,0.01904761904761905,0111110101000100111000011111001010110101010110001011001010000110001001011011010010101100111001111110100000000011011001000011110010110101100111000010100101000000000101110001100001101110000010010010110111011001000111110110111010010101010001111100101001000101000011101110011010101111011011010110101010100000100011110010011111010110000101100000011100110010010000100110011101000001111111001110011011100010010111011111111001011000,active,,103.053,,100.0,Key generated,http://localhost:8003,,False
a5f0a7a1-9d04-462e-86a2-8a03eb2705cf,done,alice-6,bob-6,2048,2048,1005,0.0,100011110010010001100101000111011101011000110010001011110110100000010100011000100010110101111010010111110111110101011101110111010010111001100111011100110100100101000010000110101111001010100100111110001011011001100001000101011111010010011000000001110011011100000111001111000100000101011111100111101010001010000010001011100111001101100010110011100000100101110110111110000101000111010101001011010011101011100001000000001000001010000010011000110100010111111001100111101000100010101001100111110110000000001011011011101010011001011101000010111011111011110110110111100111111110011100010011011110111100011101100001011110110100000101011110001000101100111101110110111011111011111110110100111010011011011110010111010111110100111101111010101100000000100100100010101110001110010010111001110010111100101110010000110000,active,,412.956,,100.0,Key generated,http://localhost:8013,,False
