session_id,status,alice,bob,n_qubits,n_delivered,n_sifted,qber,key_final,key_status,error_message,elapsed_s,progress_pct,phase_label,qkdl_url,interceptor_label,intercepted
5bb23cfd-d9e2-4b38-9825-d65ef9159c60,done,a-1,b-1,32,32,14,0,100111110110,active,,2.359,100,Key generated,http://localhost:8003,,false
af696809-2df3-4fd4-a166-dc5361d513d6,done,a-2,b-2,32,32,18,0,101110111110111,active,,2.723,100,Key generated,http://localhost:8013,,false
220d347a-1d83-47cb-bcde-a1f06d53529d,done,a-3,b-3,32,32,12,0,1110110001,active,,3.852,100,Key generated,http://localhost:8023,,false
303ed63d-9fa8-4cbc-92d6-70e940d2e7e1,done,a-4,b-4,32,32,18,0,111010101111001,active,,3.596,100,Key generated,http://localhost:8033,,false
4cbe65d4-8c26-4a63-beab-6783e253e6a8,done,a-1,b-1,64,64,32,0,01011100011010101101110101,active,,4.584,100,Key generated,http://localhost:8003,,false
73801de7-3428-4aae-8790-5d36d6afb9b7,done,a-2,b-2,64,64,30,0,111011111101101100010100,active,,5.073,100,Key generated,http://localhost:8013,,false
7b311979-5a85-4f43-9a5c-94e78b95c3ac,done,a-3,b-3,64,64,30,0,100110000010000100001110,active,,7.808,100,Key generated,http://localhost:8023,,false
509ab9cc-7c8b-449c-b86e-2759a6a90207,done,a-4,b-4,64,64,28,0,10010101000001010111101,active,,9.68,100,Key generated,http://localhost:8033,,false
8e9f928f-95e1-41a2-a03d-8875be562f2d,done,a-1,b-1,128,128,69,0,00111001111000011010000011101001101011000000101111111111,active,,9.06,100,Key generated,http://localhost:8003,,false
1cf819ad-d1c5-46f0-9780-4ae921dac60e,done,a-2,b-2,128,128,67,0,011010101000111000000100111000101010110101110111101001,active,,19.458,100,Key generated,http://localhost:8013,,false
c18a971e-b2ae-46b1-b19e-1e7fe78b82eb,done,a-3,b-3,128,128,67,0,010001101000100001101111101001011010010100111101110000,active,,30.542,100,Key generated,http://localhost:8023,,false
9cee01e2-a699-4444-83dc-035b19c198f5,done,a-4,b-4,128,128,54,0,01000001111000100001110111110101100110110100,active,,40.517,100,Key generated,http://localhost:8033,,false
bf14944e-61ac-40bb-a725-b8d1f87db277,done,alice-2,bob-2,32,32,18,0.0,110111010110010,active,,2.729,100,Key generated,http://localhost:8013,,false
3aff8777-2e91-4550-b107-ab02ad5248e0,done,alice-3,bob-3,32,32,16,0.0,0100110101101,active,,7.86,100,Key generated,http://localhost:8003,,false
d7246d9a-4ed4-468d-9d95-1a727205e1cb,done,alice-1,bob-1,32,32,23,0.0,1010001111110000010,active,,7.46,100,Key generated,http://localhost:8023,,false
ee6451d9-a09c-49a3-a6c8-a49af400fc67,done,alice-2,bob-2,64,64,26,0.0,010111010001000000011,active,,5.762,100,Key generated,http://localhost:8023,,false
d787703e-43bc-4b0a-9611-48131e1c45b7,done,alice-3,bob-3,64,64,33,0.0,101111011101011111111001100,active,,7.103,100,Key generated,http://localhost:8013,,false
102fdd55-31a7-4519-a2c3-231d3a4f2669,done,alice-1,bob-1,64,64,32,0.0,00100101001010111110001000,active,,14.046,100,Key generated,http://localhost:8003,,false
25,same_index,alice-1,bob-1,20,1024,528,0.0,001001100000001001001000010110110110101011011111001100001110111010000001110111010111111010010001001000110000101111101010011010000100101000110101010010101100010010101001101010000100100100111100100011011100001001110111100001001011110011001111110101111001110001110010100100011011101110100000100111000000010011001000101111010101101011110100100011100111001101111110110010010110110100000111101101011001101010100000101100100010001,100.0,Key generated,0.0,,http://localhost:8023,,False
25,same_index,alice-2,bob-2,20,1024,528,0.0,000010110011010000101101001001001111000100011001100001010000000011000000100011001010100101011010010010000001111110000000110101100110100011110001100011010100000111001000111111101011100101100011111010110110111110010000011010010110110001011101011110101001010011100011100100100011100110100111110000001111011100100010010100011001010111011110100111100111000000100100001001000110001101000111100101100011001111100001110011101011000,100.0,Key generated,0.0,,http://localhost:8013,,False
25,same_index,alice-3,bob-3,20,1024,482,0.0,11100110010001000110001001110100011101111101101110001111100000110100010011000100001011100110100101001000011111100001111010101011110011101000010111000011110000011110011111100010000010010101001000011001110110111001010011000110111001110100101011010010101110110011001111000000010010011101110000100100110001110110100001001001110000101101100110100100101101011011101100100010001101001011001011,100.0,Key generated,0.0,,http://localhost:8003,,False
26,cross_1,alice-2,bob-3,20,1024,519,0.0,0111100000110001101011010000111110010011000111100001000001001000000101100100100001111010101010101110001111101001000110001101001101010011110110001001010010101100010111101100000001111100111101010110011001110011001011000110100001011001010101000011010011010000101010001010111000010110011010111110000001100011111011001111000001111000101110101011001000010101101010010000010101000101001100011100111010010001101101000100,100.0,Key generated,0.0,,http://localhost:8023,,False
26,cross_1,alice-3,bob-1,20,1024,514,0.0,1001011000101001100011000101111000000011110000000010010100101101001111111101100100111001000000011100110110100011101001000011111100011000011111101001001010010110001010110000001111101001100010000101101101111111011000110101011101101011110100010101000101010001001000010101010001110100001100011011110011001111111100111010000110000011100101110101000101001000000000111000110000011101010110111111010,100.0,Key generated,0.0,,http://localhost:8013,,False
27,cross_2,alice-1,bob-3,20,1024,484,0.0,1100001000110100100110101111010000011011100110101100011111001101001101001010010111101100000101101101111000110001111000110111101111101010010010000101111110010011000101111101101000001000101000111101011111110000100000101011110111110001000000110011010000111110101110000110011100100010000001100010111110000010001000001011100011001011010110110111110001111000110001101010010100011111111011110110,100.0,Key generated,0.0,http://localhost:8023,,False
27,cross_2,alice-2,bob-1,20,1024,507,0.0,0001010100111000001010100000011011001010001101011000100010001110100011100001010101111100010001000011101001010011000100010000001011001010110111111001000111000010010010011000100001110100111010010011000101001100100001001010100000100011001001010110000001010010000100101101100100110101010101011101110000110110111111011001101010010111100100111000001110101111111101010101011011010010000010111100111100011100100101,100.0,Key generated,0.0,http://localhost:8013,,False
27,cross_2,alice-3,bob-2,20,1024,513,0.0,111011110010000000000001110011000001011101000110110011011110111110011011010101100110010101100111110111101000111010101011110011000001110111100011110110110101101110100011001010010101111110111110000010101011100101000110010111101100101001001110100010110011011010110001000000000101000111100111010001100110010010101111001000001111100110001100110011111101100011101000010110101101010000001101101001100001111011111011000,100.0,Key generated,0.0,http://localhost:8003,,False
28,same_index,alice-3,bob-3,10,2048,989,0.0,111011000010001100001000111100111110101111100111111001110001111110110110111010100000100111101101100101100000100001110111110010000110000001011010000000000111011000110100110000010001100100110111101011111000111001111000000110011010000001110001001001101011000001010100111001011010111100100111000111111100101011100110110001011100110100101000101001000011001011101110001100100101110111110110011000100000000100011000000001000111001000001111101001011101100010100110000000111110010001011111010110011010010010110110110111100001010011100011000001000011101110101011100001000101000110010100010110100111010111110101000001001010111101011101100010000110101101001000100001000001001000101111001001101101000111101111111001000110110000010101001000011110010010101101100101100010100010011011000000000101001111001110,100.0,Key generated,0.0,http://localhost:8013,,False
28,same_index,alice-1,bob-1,10,2048,1020,0.0,011111100001001011000110010110011011101100111111010100100001000001110110011110000101100100010000001100101101010101110101011101100001101001000110110111100111001110000111110011101010010001001011000011110010011000000010001001100100000000010100000011001100110001110101110101110011101010000000001010100100101011011100100100011011011000110110001011101100010001110000011011110100011110001110110100100110101000111100010011110101001010101100001001100101100001010000000101100010001111001101001000001010111010111100000111100011111110001100011000011101001001111101001011100010000010111111100011101110101000101011001101101010011101001111111001101011011101110101111100110101111001101001001011110000110110101010110011001110001100011001011111110110011110001001010100001011100000010100011111000101001001001100101111101000101110010110,100.0,Key generated,0.0,http://localhost:8003,,False
28,same_index,alice-2,bob-2,10,2048,1035,0.0,001010000111010000110100011100010011010110001010001100101101001100100100010011010001101100100001110011111111111111010010010011010011001001010100000011101111000111101001001110010110011010110000001000001010101101110010011110111101100001011011010111100101001010101000101001111100001111101100000000100100110101100110000010000010010000011000010010100101010100001111010000101010101011010101100011100000010101000010111001011011101011011011010011011011101111000100100100100100101010011100000101110010100011000011110010001110011100001110100010100100001100101101100100101000010011110110011001001011110000001110100011111111001110110000101111001001111011000011001001111100001000111001101101110110111000110001011111101000010101000100110011000100010100101111001000111000101010001001101001011111010100000010010100011010110110000101010100110111,100.0,Key generated,0.0,http://localhost:8023,,False
29,cross_1,alice-2,bob-3,10,2048,1036,0.0,1101000111000001000001011100010111001111111011010110001000100111111000110001101110011101100100111001000011001110100000011001000000110101001110100111000110001011010101001101110010111011010110101000111000110011111001000111110101110001110011000010001000111001101000000111001111111011101000101000100000101110100011010110110000101000101010101001111011100100111000110101011110000011110110111001100010001110010011010110100011111000101010011110011100111110000100010100010100101110011011100100100011011101001101001011001000111011000110011011100101101000000110001101010100110011000111101110010100011011111100100101101110000110110010011110101111111101000100010101101111001101101101011100000001101011111100010101001110100101010001100110110101101100011010001010001100101011100001100101111000101001010101100010100011111100101001111101110100001,100.0,Key generated,0.0,http://localhost:8013,,False
29,cross_1,alice-1,bob-2,10,2048,1033,0.0,11010101000010101100011110011011011100010001000111011101001000001110011100010011010010001010101101111101110000001010101010010100111110000111000001000110100001001010010101010011101010111111110011011111110101001111010001110011010111100100010011110011011100001010111010100001110000001111010000000111010101000010101110110111110010100001101101111110001101100001101111010110010011011000011110110101011100001010011111101000101110010100101011100010001001111011111101100001111101101001010000101100111001111001101010001000010100011110110010000001011111101100001000100100011111011000110101110101101000001000100010101101000111110011110110101110010110010001001101100100110011011100100110111110110011001100000111111001011011110100001011011010101010000110111001001100110011011010110011001011011110111111000100101011101010100000000101010011000,100.0,Key generated,0.0,http://localhost:8023,,False
30,cross_2,alice-2,bob-1,10,2048,1042,0.0,011110001011010110001000111000010111100111010010000010010100100101011111101111101101010100001001111110110110101100010111101110011100000010000000011011101010100000101000100111101001000010010010111001010111011101101000100110011101110100000011100011011101000110100110110001011010101101010000000000000000100001010011010001000110111101110011110001000111000010000001110101101011100101000100000001110010011100100001001011101111011111101100011001110010100000100000000111111000010111111000101001100001001011010010000000010011010000010101100001111000101111101110111010011111100011011100101111100110110001100111100000110101101100100110011011000101100010101000001101010100101110011001001100101010101011010110100011111010011011011001001001001010100000110100010111011110101111000010000001010001000001010010100000110101110001000101000011011010111010,100.0,Key generated,0.0,http://localhost:8013,,False
30,cross_2,alice-1,bob-3,10,2048,981,0.0,01001111011100101011111001000100111111011100100001101011100110010101001010000011000010001010111000111010000101011011011110110011011110101011110010100111001010000000101010100010111001100101001001001010100000011100011101101111111111110000000000101101110001110001111100001100101001111001100000101110000111110100101110101001001111110001110010100001110110001111110001011111001001101011100100111001111010110110001111101110100001110001101011010010101101000011110110001110111100101110111001000101001010011000011111010001011000000011000011010000111111001000101100001101000100111000010001100001110010000011111100011100011011110101000000111001000000110010110000100010001011111100011100101010001110111000011001001101101101100000111111100010101110001111100011010111000111001100000000101010011101110,100.0,Key generated,0.0,http://localhost:8023,,False
30,cross_2,alice-3,bob-2,10,2048,1041,0.0,01110100011111000011100100101001100011001001010011111010101110011001100101110100001100011000001100011010011101011101100111011101000100101111011110111011111111011011011100010100100101100110100011010111001101001000111111110011000110001011001010001110111100010101111011111100011010100001111011000011110101101001011001110111100101010111110011111111011111000011100011111000110010011001011100100001001001011000111000011110011000100001101111100101000110100011001001101011100100000010100000101100000110110111010101100101100110011010101111100001100101111001000110110000001001010110110001010100110111101101011101001100111101101110000010000000000111100010000000110011001000101110110010100100110011101001001000001101010000101110000001010100000100000100101000000000000011000100011011000110010100101100100101101101100001000000000111110110101101111,100.0,Key generated,0.0,http://localhost:8003,,False
31,same_index,alice-3,bob-3,20,2048,1000,0.0,11010101100000011101001010001011001010101101010011100001110011010110100110001001100011001011111010001010100000101110000000010000100011111100101101011000010001001100000010001001100111110111100101001011001011011000100010101000100110010100011111110001100011000010111001110001000010101000110100010000110010010111011101101001001101111111110100100110000100110010110001001010110110111010110101111000011100010111001100001110110101011101011010001111010001010100000100100110101110000101011100100011011001101011111001110011010100100010000011110101000110111001011110101000111000110010111100101100010110001111110010001110111000110111101011101111011111111101110001010111100011010011010111100011010001101110101111001101110011111111110000111101001100001001011000010011010100001010100110101111100010011011000110111001,100.0,Key generated,0.0,http://localhost:8023,,False
31,same_index,alice-2,bob-2,20,2048,1019,0.0,000111000100101011101111011000010110101101100111000110111101100101101111101110000010000110100100001001110010001000001110111001101000001011010000100101101110111000010111010000010101101111001101101010001001110011100111011000100101111001101110011010111101010101110010010100110010011100110000001011001011000010100010101010000101000100001010110111110100110110111001110111100110111001101011010001000011001110001110001001110010100001011001110010010011010101110000111001000000110101100010100001101000000011111111001111110110111100010010110100101010101010010000011001101000111100010101001011110101101111000100100010000110111111000110101010111010011000110111110110000010000011001101000111101101110111000111110010111010000010101100010100001101000100100110001111101010110110010001110101001001110000111101110011011101000100100001,100.0,Key generated,0.0,http://localhost:8013,,False
