session_id,status,alice,bob,n_qubits,n_delivered,n_sifted,qber,key_final,key_status,error_message,elapsed_s,progress_pct,phase_label,qkdl_url,interceptor_label,intercepted
3c4d45c4-cd8d-4387-a788-1aadc4ba9c6a,done,a-1,b-1,32,32,18,0,,, ,4.83,100,Key generated,http://localhost:8003,,false
bfc53bf1-4016-461f-b07e-c5b4a6058dc0,done,a-2,b-2,32,32,16,0,,, ,4.882,100,Key generated,http://localhost:8013,,false
079a4ef7-6ae9-4424-b2b2-87fe552753cf,done,a-1,b-1,64,64,34,0,,, ,4.122,100,Key generated,http://localhost:8003,,false
13072b00-3f02-41f3-99c5-95b40d48f3fc,done,a-2,b-2,64,64,27,0,,, ,8.164,100,Key generated,http://localhost:8013,,false
7744fd6e-c993-41a9-b617-d51830da5dcc,done,a-1,b-1,128,128,61,0.08333333333333333,,, ,5.849,100,Key generated,http://localhost:8003,,false
75bb997d-758c-4fa8-9aa7-6b7c540c13cf,done,a-2,b-2,128,128,65,0,,, ,8.686,100,Key generated,http://localhost:8013,,false
dd5af5b9-250c-459a-a9e3-e717c09497d7,done,a-1,b-1,200,200,99,0.05263157894736842,,, ,7.43,100,Key generated,http://localhost:8003,,false
5f2bfe94-ffa6-43a4-987a-8f7c471c1008,done,a-2,b-2,200,200,107,0,,, ,12.781,100,Key generated,http://localhost:8013,,false
cc31725a-8821-4f5f-8334-86e6cf394bb0,done,a-1,b-1,1024,1024,509,0.04950495049504951,,, ,33.345,100,Key generated,http://localhost:8003,,false
913b021f-8587-4fe0-83be-ae970ca40ffb,done,a-2,b-2,1024,1024,542,0.027777777777777776,,, ,66.389,100,Key generated,http://localhost:8013,,false
93ce04dc-d408-480a-a6c3-91a783cf151b,done,a-1,b-1,2048,2048,1026,0,,, ,62.581,100,Key generated,http://localhost:8003,,false
1ac1d3b6-c867-48e8-8b3b-9ecda301af8d,done,a-2,b-2,2048,2048,1037,0.033816425120772944,,, ,125.067,100,Key generated,http://localhost:8013,,false
