run_index,pair_id,scenario,run_type,group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,eve_registered,n_intercepted,basis_match_rate,theoretical_eve_qber,eve_detection_correct,group_wall_time_s,timestamp
43,22,clean,sequential,,,alice-3,bob-3,20,64,done,8.813,7f258100-1f56-4954-936d-d67515e85a8d,64,30,0.0,000101111001000101100001,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:52:10.204619
44,22,eve,sequential,,,alice-3,bob-3,20,64,aborted,1.61,02a0a759-b8e8-404b-a5c1-381ddf36c5c8,64,0,0.5,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,64,0.4844,0.25,True,,2026-05-23T20:52:17.343815
45,23,clean,sequential,,,alice-3,bob-3,10,128,done,17.365,386f0763-fe48-49b8-b210-c2c154e1201a,128,57,0.0,0001110110100111010011001111111010010010001010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:52:39.731815
46,23,eve,sequential,,,alice-3,bob-3,10,128,done,1.692,ee8224bc-b18a-4445-b785-d48905f9be8a,128,62,0.0,01111101010011011000100000011111110000000111011011,,100.0,Key generated,0.0,eve-1,False,http://localhost:8003,True,True,128,0.5078,0.25,False,,2026-05-23T20:52:46.866953
47,24,clean,sequential,,,alice-3,bob-3,20,128,done,16.697,3fba262a-1e0f-4db8-b260-7433341b9eef,128,54,0.0,01101010010101100111110001100101101010000001,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:53:09.157051
48,24,eve,sequential,,,alice-3,bob-3,20,128,aborted,1.635,2615b354-ee2f-41b7-94fb-e1cdbcd8db03,128,0,0.4,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,128,0.4922,0.25,True,,2026-05-23T20:53:16.308409
49,25,clean,sequential,,,alice-3,bob-3,10,200,done,26.581,7d8bdb73-2d2f-475e-bf85-0ada5db2ae74,200,100,0.0,00111010111010010111011110110111011100101011101010110001010000100100110110111100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:53:48.790076
50,25,eve,sequential,,,alice-3,bob-3,10,200,aborted,1.755,82e14a7b-57a4-4163-9b6d-87bd95cf0097,200,0,0.3333333333333333,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,200,0.505,0.25,True,,2026-05-23T20:53:55.970729
51,26,clean,sequential,,,alice-3,bob-3,20,200,done,27.064,05e01db0-d73c-4383-99a7-c7901224b235,200,96,0.0,00110101010101111001011101000110010110001011001101011110101100111011001010000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:54:28.400175
52,26,eve,sequential,,,alice-3,bob-3,20,200,aborted,1.576,627dc29d-a919-4b7e-a695-80989ffabb0c,200,0,0.2608695652173913,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,200,0.515,0.25,True,,2026-05-23T20:54:35.530731
