group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,run_type,group_wall_time_s,timestamp
11,cross_1,alice-3,bob-1,10,128,done,35.49,58fa6b98-e55e-44f1-ac61-7b035c44a597,128,70,0.0,00001100111010011000011011111101010111110111011000001101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,36.817,2026-05-22T19:42:34.046260
12,cross_2,alice-1,bob-3,10,128,done,6.126,47242566-8345-4581-a980-1e26374b0960,128,54,0.0,01000110010101110111011110000010001011111010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,34.793,2026-05-22T19:43:12.840607
12,cross_2,alice-3,bob-2,10,128,done,22.373,5be55035-d9da-4c51-91af-21570a0150bb,128,63,0.0,000010001011000110101110011111001101001011101010100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,34.793,2026-05-22T19:43:12.840652
12,cross_2,alice-2,bob-1,10,128,done,34.258,2cdb051f-b5d0-496f-9a30-e038acc78b1a,128,56,0.0,111010110011010101101110101100001110100100110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,34.793,2026-05-22T19:43:12.840673
13,same_index,alice-1,bob-1,20,128,done,8.247,d918a802-81d9-4d0d-b14c-a95a0c57eabc,128,65,0.0,1010000101110101010010011000011101001010110011001010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,34.827,2026-05-22T19:43:51.670249
13,same_index,alice-3,bob-3,20,128,done,22.636,1c4cb265-7da2-45bf-be04-89f009056b01,128,75,0.0,110001001100100010001100001001011110100100100010101010010110,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,34.827,2026-05-22T19:43:51.670288
13,same_index,alice-2,bob-2,20,128,done,33.656,125866ed-ba59-4cdb-b01f-cc85965c3251,128,62,0.0,01000100001001001101010111110000100011010100001010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,34.827,2026-05-22T19:43:51.670303
14,cross_1,alice-1,bob-2,20,128,done,9.754,1179bdd4-c42a-46e7-8ab3-a61708fac6f4,128,51,0.1,11010001110111101100101111111001010000101,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,32.679,2026-05-22T19:44:28.350943
14,cross_1,alice-3,bob-1,20,128,done,22.273,4929a1f8-dcd9-4c82-9cfe-f24e881178f9,128,65,0.0,1010010000010100001010110010100010010100101011010111,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,32.679,2026-05-22T19:44:28.350992
14,cross_1,alice-2,bob-3,20,128,done,32.483,8a4ccf00-be51-482f-aea1-94938f18dfff,128,55,0.0,11001110111101100101110001111110101100111011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,32.679,2026-05-22T19:44:28.351015
15,cross_2,alice-1,bob-3,20,128,done,14.803,a105da77-7a67-440a-9829-9b871afe315b,128,71,0.0,010000001101011111111101100000100100100100110000011101000,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,32.768,2026-05-22T19:45:05.120194
15,cross_2,alice-3,bob-2,20,128,done,17.354,51a9f22a-e942-43d9-9e95-f63974d6d6c4,128,57,0.0,0000000011000101110011010000100110111000000010,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,32.768,2026-05-22T19:45:05.120340
