session_id,status,alice,bob,n_qubits,n_delivered,n_sifted,qber,key_final,key_status,error_message,elapsed_s,progress_pct,phase_label,qkdl_url,interceptor_label,intercepted
77906a71-99c5-428a-8441-8c5fd7bfcd5a,done,a-8,b-8,200,200,103,0,11001110010001100000101110001101000001000001000100010010000010111000011010011110000,active,,289.241,100,Key generated,http://localhost:8073,,False
b997aa33-2151-4f32-be97-57302dbeaeac,done,a-1,b-1,1024,1024,495,0,101000111101000011001101101110010010001101010000111011010011010111110111101011010011010001011110000100010010001111101100100111110111110100010100010010100011010001001011101000101110101010000000110011010100111100110011110101001001000000000111011100110000111101011101111011001001101101110011100011110100000000011001000001001001111001111101100010001101100101011001011101101011100000111000101001011000,active,,206.118,100,Key generated,http://localhost:8003,,False
c44c0300-be79-4f9f-805f-f40053ac741f,done,a-2,b-2,1024,1024,501,0,10001100100100111000010100001010111110100100000011100110111011100110100111111011011110111010101000000100110010001010111000001000100010101010000110010100010111110011001110100111010001001000111000100000000010000111000101111010000011111001101111011111100111110001000111000111010000001100100100011000101111010001100101000111110001000011110100100011011111011110111111110110110111100100010100101111001100101,active,,405.479,100,Key generated,http://localhost:8013,,False
c420848d-03b1-4df2-81ce-ddb528ca5510,done,a-3,b-3,1024,1024,489,0,11101010111001000110100100100010011001000011010110100110001011101010000010011100011111001010101010001111010111001000011000011000001101001000000101111110001010000001110010010000110100001011000001100101011011010010000111001101010111001000110000110001011000000111100010001100101000001010000001010110001110110110111101110001011010001001111101010101111010010010100010111000110001101101110111010101,active,,608.007,100,Key generated,http://localhost:8023,,False
9841647e-7ce0-4e37-8def-d417c6f3d025,done,a-4,b-4,1024,1024,501,0,11110101000110000100000111011110011000010101101110111111000101111101011101100100101101101101010001111101000000101100010001011101011100111110001010110001111001001000011001110010101010110101100110111110110001101110010101000000101001111010000001000010110011101110000000010110111011011100110000001010010111010010110101011100100110111100111101001100010011110100111111000010011110001110000010100110011110101,active,,810.897,100,Key generated,http://localhost:8033,,False
120d01c8-ff45-42d9-b697-4b3d9d038dc2,done,a-5,b-5,1024,1024,510,0,110001010101010000001111001011111111001111101011111010100101010101111010010000101011010111000110001011001111110011101100101000110010101011001010001001011100010011100011101010110100101101110011111100011110011000011011001111111011000100111001110101011011000000101111101111101101011111111101100001100010010100000110010110101000100000010011111010101111011101111111100010011110001000110010100100000101101001111101,active,,1012.558,100,Key generated,http://localhost:8043,,False
cf5a6854-fec2-4aea-9dad-386843b33e12,done,a-6,b-6,1024,1024,519,0,01100111110000110100101010010011001110011111000000000100100111001010011101010101001010010101001110110101110100111011111010000111110101101100100100010000110110101110110011100110100100111001101110100100111111101100101001001000100011100011000010100101101011000000001101101011010110110110100001011100000000110101011010010011011101100010011111011110111001101101111111111110111111111101011101000001110111011000010001010010,active,,1215.195,100,Key generated,http://localhost:8053,,False
3e7199d3-6d19-451f-8bd6-dae84362f8f9,done,a-7,b-7,1024,1024,528,0,100010011111001101101111011010100110010111110011000010110110110011111000111100010110010111001010110101101111110100101011011010000010011111000011101001101101011110010110111101011010100010010111111010111100100001111011111000011101000100000000001011101101001111110011101011000100100111000000001000110001011100101111011100110001110100001100011000110111001101001100010111111011100011010111111101101110001011111001001111001010100,active,,1417.798,100,Key generated,http://localhost:8063,,False
74c6e83d-3512-4741-80da-44222736adb5,done,a-8,b-8,1024,1024,507,0,0101110001011101010011111101100000000110100000100101001000011101111011011100010011000001111111010101101110011001100101011101011110110011101010110100001000101111001010101001010011010011110001011010010000011000101010100011111001000010001110111010001100110101100011001101110111011000101111100011010100010101000001101111110001000110000001111011010011110110000100001111011011111100010111000111110000100000100011,active,,1620.02,100,Key generated,http://localhost:8073,,False
74c492ef-1dc4-4952-af73-6559ca2767c4,done,a-1,b-1,2048,2048,1019,0,010111110010101110101001001000011001111101111101110100111010101011001001111000110110111111000110001101100000101001000111011011001111101010010111011111100111011000010101000110010001101001110111001111001000111010111111101110100000010000001000010111101001111100011000100000110111011110000010100101011110111111110101001111111001010100100000010100001100010000100011100111101011100101110011111001111001111000101100111111000110100010010101001101111100011001000101100000000011001011010101000010101100110111110010011001100000100001100010011110101101101111011010110100000001000011111001101110110011000111001001001110010000101100011111011111010111101110011000011011100110100111110101100111110111001101111011111000111011100000000111111000000011000111101000001110101110000011010011100111110101100010001011010000100010010100001111,active,,82.972,100,Key generated,http://localhost:8003,,False
2161449f-c1bc-455d-888e-dd0414feba88,done,a-2,b-2,2048,2048,1021,0,0011001010011110010101111000000011010100111101011100000010010010100111010101100111000010001001100101000011100101000000110111011101111000011010111100100111101111100011001010111000101110110011101011111010110101101010011101110011010000001101101100010100000010010111101111000101000001011110010101011011100100000010000110011010101000000100100101000001100000100010010011111000001010001111011011010101100010111110110111111000100010101101011011001101111110110111100011011100111001001000010010000111010110000001111111001010010101010100100101100111100101000111110000101000011010011000001010111001111000010011111110101010001001011101110010011101100000100011010110100101100110100011010111000100000000000111000011010100101100100100011001111001001001010011111010011010111011110001101001111010010101101101011000111111011001001101100,active,,183.793,100,Key generated,http://localhost:8013,,False
7ba35d7e-dfc0-4797-9db7-6d958343e53e,done,a-3,b-3,2048,2048,1040,0,0111101011101000011000010110000100100000001011110000000101001011101111001001011101000101110000101010111101011110101001111100001101111001110101111011011010001000001110110111110111001000110110101010011110011101011011101010001001100100111101011101101000000100011000101001111000010111000101110000101001011100001100101110101111000111110110111101110111101110110011011001110001011110000111111110101101111100111101001000010110011101000011010111100100011000010110011110101011110110000010100100001110111111101010100100101100011110001111110101110101001100000110001111000010101010000100011010000101101101001010001001101100010101010100110111110110010001011101111001110100010110010101011010000011100011101011010000011011001001001111010011100010101010111100101001010101010001110100000111001101100000010111111011010010011101011100010011100001100001,active,,387.635,100,Key generated,http://localhost:8023,,False
0673e004-760d-4579-8835-de63ffc5334d,done,a-4,b-4,2048,2048,973,0,00010111110110010010011110111010010011011010010011011100011000000110101001100110011111100010011000111010010001100111010111100110000000000000100011001011001110101111110111011110000000000000110001110101110110011001110010110110111101010101010110000011001111110100011011100110001101010111110100100000111011110100000001010101101100011101111000010001111001001101000000111111000111100101101100110001011111110111101000101001100011101110001011111111111110001001111111000111100011110011000101011111000001111010101101011000010000111011111011100111010100001101111001101101111111001101101001100111100100111111101101010000011101011111100100101011110000110001100011101100010000011111010111011100100010101101101010100101011010101000100101011000001001101001010100101011111010111010000101110110000,active,,591.411,100,Key generated,http://localhost:8033,,False
4d751867-7a6b-47b9-91e8-e88878c5faf9,done,a-5,b-5,2048,2048,1028,0,0111011101111000000010101110111101000110001011010000111110001010001010010000000001101000001100111100011010000111100110111001001011001110100110100101001001010100011011101010110011000110111011011101110100100001010010100000000000010010000101000110110001110000100110000010010001011111100101010110111001110001110000001011000101110111110101110101001010010111011001001000000000010010001111001110101001101010111011111010011111001000011101001011000101110111101010110110010010011111000111001110111000001011101110110111110010000110001111110001100000010001010000111101101110100101100001101101010110110101111100011011110111101100000101110010000111000100001110101101110011010110100101000100001101010000001000101100010001011001001011000110110110001010011010010111110110110110110110011100010101010101010000001000100010101001110101001110111,active,,793.739,100,Key generated,http://localhost:8043,,False
c600ee7e-e244-47dc-9ab9-18061e2d32b1,done,a-6,b-6,2048,2048,1051,0,0011011011101111010110101110000100011100110001101000001101101000110101100010010010001101100101100011010110111010011010100101101100111011110001111000000101011010100000010101011000100000110110101000010110000101010111101100010000001000100110101001111110111111000011101000011001111101010001010000100110010001000100000101101101010000001100101111010100010110011011100010001011100000010000111100011111011111110001011001000110100010101101100111100110101101000000011111000100111111001110000011010000000100100010101100100001010101001101101011001011011110011100111110011100101001001010011000001001000011101110111110110111011000001100010001001000110011010001101010100101000100010110101010001010000011010011000001011011110010001111010010010101100100010111101111110011111101010110000100100111000000000000010110100000000011001101111000011101000001000101100,active,,997.14,100,Key generated,http://localhost:8053,,False
61e84629-f5c8-4cde-9cab-a07f72363c12,done,a-7,b-7,2048,2048,1008,0,111101000010001011101001001000010111111111101101110010010001100001000000000110010101011110111111111011010000010110101110101010111010111110000101010100101011110101010010100101010111001110111010101010101110101111010000001011111110000001011001010101000101100101100001100011010100000011010101011011111101110011001001101111011110000101101100110001001000111000010001111000110001001101101000011110101010001011000000011111110101011000000001100101100000001100000111100101111000010111010001001010110010111111011001101110101011110010001000111001101110010101110101000011000000111011101011000001100110111010001111001101111110010100100100111000000010001101010000011100011110011011001011010001101100100100100010100110000101001101111100100001101000001110100000011110110110010110010000111110101100001101010100100011101010111,active,,1202.065,100,Key generated,http://localhost:8063,,False
4904a06e-50e6-4835-a176-021ddeb0d310,done,a-8,b-8,2048,2048,1028,0,0101010100000110110001101101100110100111001111100001111101101001100000100111011011101110000101101111001100101001111100100011000111010010010100110111011101001001000100010111111110011010101110001111011001100001110011101011010110001110100110001111110011110010011010111100110110100100110001110000000110101111010100001110101011011000100101001100011111000000010100100000110010011011000000100000000100001101011010010111100010000101010110111011000101010111011000100000100011110011110111011100010000001100111010100000001011011001010110010101011110011010110010010000101000101111000001100000001011111110000000011010001000100101110111001010101111011100001100101000111111101001011000000111000000001101001100100000110100101011111010101110000111100101111100011100110001100001001111011111010101101111011110111100110111101001100010101011000,active,,1404.606,100,Key generated,http://localhost:8073,,False
